RunNumber,BeamEnergy,MaterialThickness,MaxRecordNumber,Threshhold,GearFile
169,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
170,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
171,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
172,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
173,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
174,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
175,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
176,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
177,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
178,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
179,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
180,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
181,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
182,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
183,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
184,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
185,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
186,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
187,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
188,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
189,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
190,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
191,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
192,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
193,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
194,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
195,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
196,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
197,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
198,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
199,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
200,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
201,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
202,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
203,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
204,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
205,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
206,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
207,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
208,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
209,3,Wafer 904 6DA00 021 Poly R 882-11 305 Top LEFT,750000,6,gear_weekend.xml
